Etichette di riga;Cella;Cella (Evaporatore);Freezer;Freezer  (Condensatore);Totale complessivo
2019-06-30T05:30:03+02:00;-13.84;-24.76;-18.49;31.67;-25.42
2019-06-30T05:40:01+02:00;NaN;;-16.2;29.44;13.24
2019-06-30T05:40:02+02:00;-13.34;-19.77;NaN;;-33.11
2019-06-30T05:45:57+02:00;-7.88;NaN;;NaN;-7.88
2019-06-30T05:50:01+02:00;-10.06;-15.52;-18.5;31.91;-12.17
2019-06-30T06:00:01+02:00;NaN;;-16.3;29.31;13.01
2019-06-30T06:00:03+02:00;-12.07;-23.66;NaN;;-35.73
2019-06-30T06:10:02+02:00;-13.55;-24.82;-18.6;31.33;-25.64
2019-06-30T06:20:01+02:00;NaN;;-16.25;29.08;12.83
2019-06-30T06:20:02+02:00;-13.76;-24.99;NaN;;-38.75
2019-06-30T06:30:01+02:00;-13.74;-24.9;-14.28;29.12;-23.8
2019-06-30T06:40:01+02:00;-13.71;-24.85;-11.36;33.93;-15.99
2019-06-30T06:50:03+02:00;-13.69;-24.7;-17.85;34.15;-22.09
2019-06-30T07:00:02+02:00;-13.69;-24.66;NaN;;-38.35
2019-06-30T07:00:03+02:00;NaN;;-16.9;30.95;14.05
2019-06-30T07:10:01+02:00;-13.72;-24.65;-18.09;32.5;-23.96
2019-06-30T07:20:02+02:00;-13.67;-24.58;-16.33;30.72;-23.86
2019-06-30T07:30:01+02:00;NaN;;-18.46;32.56;14.1
2019-06-30T07:30:02+02:00;-13.66;-24.54;NaN;;-38.2
2019-06-30T07:39:33+02:00;-6;NaN;;NaN;-6
2019-06-30T07:40:01+02:00;-12.94;-24.47;-16.22;30.87;-22.76
2019-06-30T07:50:01+02:00;-12.3;-23.51;-18.55;32.66;-21.7
2019-06-30T08:00:02+02:00;-13.49;-24;NaN;;-37.49
2019-06-30T08:00:03+02:00;NaN;;-16.18;31.29;15.11
2019-06-30T08:10:02+02:00;-13.74;-24.23;-17.24;34.85;-20.36
2019-06-30T08:20:01+02:00;-13.74;-24.21;-18.09;34.26;-21.78
2019-06-30T08:30:01+02:00;-13.78;-24.19;NaN;;-37.97
2019-06-30T08:30:02+02:00;NaN;;-15.82;32.86;17.04
2019-06-30T08:40:01+02:00;-13.76;-24.22;-18.46;34.13;-22.31
2019-06-30T08:50:01+02:00;NaN;;-16.16;32.54;16.38
2019-06-30T08:50:02+02:00;-13.75;-24.12;NaN;;-37.87
2019-06-30T09:00:01+02:00;NaN;;-18.45;33.54;15.09
2019-06-30T09:00:03+02:00;-13.72;-24.11;NaN;;-37.83
2019-06-30T09:10:01+02:00;NaN;;-16.1;32.42;16.32
2019-06-30T09:10:02+02:00;-13.69;-24.07;NaN;;-37.76
2019-06-30T09:20:01+02:00;-13.65;-24;-18.52;33.94;-22.23
2019-06-30T09:30:01+02:00;-12.5;-23.48;-14.79;31.13;-19.64
2019-06-30T09:40:01+02:00;NaN;;-11.79;36.57;24.78
2019-06-30T09:40:02+02:00;-13.34;-23.79;NaN;;-37.13
2019-06-30T09:50:01+02:00;NaN;;-17.96;36.22;18.26
2019-06-30T09:50:02+02:00;-13.11;-20;NaN;;-33.11
2019-06-30T09:57:13+02:00;-7.75;NaN;;NaN;-7.75
2019-06-30T10:00:01+02:00;NaN;;-17.08;35.04;17.96
2019-06-30T10:00:02+02:00;-10.12;-12.68;NaN;;-22.8
2019-06-30T10:10:01+02:00;-11.3;-22.98;-17.29;35.25;-16.32
2019-06-30T10:20:02+02:00;-12.66;-23.78;-18.17;35.06;-19.55
2019-06-30T10:30:02+02:00;-13;-23.89;-16.54;34.66;-18.77
2019-06-30T10:40:01+02:00;NaN;;-18.08;34.97;16.89
2019-06-30T10:40:02+02:00;-13.05;-23.9;NaN;;-36.95
2019-06-30T10:50:01+02:00;-13.09;-23.86;-16.9;35.07;-18.78
2019-06-30T11:00:02+02:00;NaN;;-17.74;34.6;16.86
2019-06-30T11:00:03+02:00;-12.41;-23.91;NaN;;-36.32
2019-06-30T11:10:01+02:00;-12.1;-23.13;NaN;;-35.23
2019-06-30T11:10:02+02:00;NaN;;-17.11;35.21;18.1
2019-06-30T11:20:01+02:00;-12.92;-23.51;-17.54;34.31;-19.66
2019-06-30T11:30:02+02:00;-12.45;-23.62;-17.4;35.44;-18.03
2019-06-30T11:40:01+02:00;-13.03;-23.62;-17.58;35.79;-18.44
2019-06-30T11:50:01+02:00;-12.35;-23.37;NaN;;-35.72
2019-06-30T11:50:02+02:00;NaN;;-18.02;35.49;17.47
2019-06-30T12:00:01+02:00;-13.05;-23.58;-16.81;35.52;-17.92
2019-06-30T12:10:01+02:00;NaN;;-17.78;34.67;16.89
2019-06-30T12:10:02+02:00;-13.22;-23.71;NaN;;-36.93
2019-06-30T12:20:01+02:00;NaN;;-17.07;35.55;18.48
2019-06-30T12:20:02+02:00;-13.26;-23.76;NaN;;-37.02
2019-06-30T12:30:01+02:00;-13.3;-23.81;-16.25;32.07;-21.29
2019-06-30T12:40:02+02:00;-13.05;-23.76;-11.4;37.26;-10.95
2019-06-30T12:50:01+02:00;-9.49;-21.72;NaN;;-31.21
2019-06-30T12:50:02+02:00;NaN;;-14.5;38.35;23.85
2019-06-30T13:00:01+02:00;-12.06;-23.19;NaN;;-35.25
2019-06-30T13:00:03+02:00;NaN;;-18.15;35.92;17.77
2019-06-30T13:10:02+02:00;-12.7;-23.59;-17.21;36.19;-17.31
2019-06-30T13:20:01+02:00;NaN;;-16.73;35.35;18.62
2019-06-30T13:20:02+02:00;-12.89;-23.64;NaN;;-36.53
2019-06-30T13:30:01+02:00;-13.04;-23.75;-18.22;36.25;-18.76
2019-06-30T13:40:01+02:00;-13.14;-23.8;NaN;;-36.94
2019-06-30T13:40:02+02:00;NaN;;-16.55;35.29;18.74
2019-06-30T13:50:03+02:00;-13.15;-23.84;-18.03;35.69;-19.33
2019-06-30T14:00:02+02:00;-12.97;-21.72;NaN;;-34.69
2019-06-30T14:00:03+02:00;NaN;;-17.05;35.54;18.49
2019-06-30T14:10:03+02:00;-10.96;-12.57;-17.51;34.97;-6.07
2019-06-30T14:20:01+02:00;NaN;;-17.42;35.9;18.48
2019-06-30T14:20:02+02:00;-9.41;-20.35;NaN;;-29.76
2019-06-30T14:30:01+02:00;-12.65;-23.42;-17.08;34.26;-18.89
2019-06-30T14:40:01+02:00;-12.98;-23.6;NaN;;-36.58
2019-06-30T14:40:02+02:00;NaN;;-17.72;36.56;18.84
2019-06-30T14:50:02+02:00;-13.11;-23.69;-16.68;34.38;-19.1
2019-06-30T15:00:02+02:00;-13.12;-23.65;NaN;;-36.77
2019-06-30T15:00:03+02:00;NaN;;-18.03;36.42;18.39
2019-06-30T15:10:01+02:00;-13.11;-23.58;-16.44;34.3;-18.83
2019-06-30T15:20:01+02:00;-13.13;-23.57;-18.41;36.1;-19.01
2019-06-30T15:30:02+02:00;-13.07;-23.51;NaN;;-36.58
2019-06-30T15:30:03+02:00;NaN;;-14.88;32.74;17.86
2019-06-30T15:40:01+02:00;-13.03;-23.43;NaN;;-36.46
2019-06-30T15:40:02+02:00;NaN;;-11.59;38.2;26.61
2019-06-30T15:50:02+02:00;-13.1;-23.49;-17.6;37.97;-16.22
2019-06-30T16:00:02+02:00;NaN;;-16.9;35.51;18.61
2019-06-30T16:00:03+02:00;-13.09;-23.48;NaN;;-36.57
2019-06-30T16:10:01+02:00;NaN;;-18.01;36.93;18.92
2019-06-30T16:10:02+02:00;-13.05;-23.45;NaN;;-36.5
2019-06-30T16:20:01+02:00;-13.01;-23.4;-16.31;34.78;-17.94
2019-06-30T16:30:02+02:00;-13.01;-23.36;-18.41;36.72;-18.06
2019-06-30T16:40:01+02:00;-13.04;-23.39;-16.35;35.14;-17.64
2019-06-30T16:50:01+02:00;-12.98;-23.39;-18.39;36.1;-18.66
2019-06-30T17:00:04+02:00;-13.03;-23.44;-16.61;35.34;-17.74
2019-06-30T17:10:01+02:00;-13.03;-23.48;NaN;;-36.51
2019-06-30T17:10:02+02:00;NaN;;-18.06;35.71;17.65
2019-06-30T17:20:03+02:00;-13.02;-23.47;-16.86;35.42;-17.93
2019-06-30T17:30:01+02:00;-13.09;-23.44;-17.67;34.84;-19.36
2019-06-30T17:40:02+02:00;-13.04;-23.48;-17.25;36.01;-17.76
2019-06-30T17:50:01+02:00;-13.04;-23.44;NaN;;-36.48
2019-06-30T17:50:02+02:00;NaN;;-17.4;34.74;17.34
2019-06-30T18:00:01+02:00;-13.07;-23.56;NaN;;-36.63
2019-06-30T18:00:03+02:00;NaN;;-17.38;35.5;18.12
2019-06-30T18:10:02+02:00;-12.95;-22.24;-17.19;34.1;-18.28
2019-06-30T18:20:01+02:00;-11.54;-13.38;-17.7;35.87;-6.75
2019-06-30T18:30:03+02:00;-9.46;-20.26;-15.47;31.25;-13.94
2019-06-30T18:40:02+02:00;-12.69;-23.38;-11.28;37.55;-9.8
2019-06-30T18:50:02+02:00;-13.11;-23.77;-16.24;38.18;-14.94
2019-06-30T19:00:01+02:00;NaN;;-17.65;36.48;18.83
2019-06-30T19:00:03+02:00;-13.2;-23.84;NaN;;-37.04
2019-06-30T19:10:01+02:00;-13.28;-23.84;-17.25;36.55;-17.82
2019-06-30T19:20:01+02:00;-13.34;-23.79;-17.03;34.7;-19.46
2019-06-30T19:30:03+02:00;-13.33;-23.81;-17.89;36.41;-18.62
2019-06-30T19:40:03+02:00;-13.36;-23.8;-16.6;34.53;-19.23
2019-06-30T19:50:03+02:00;-13.41;-23.83;-18.21;36.31;-19.14
2019-06-30T20:00:02+02:00;-13.41;-23.77;-16.28;33.99;-19.47
2019-06-30T20:10:04+02:00;-13.43;-23.89;-18.4;36.43;-19.29
2019-06-30T20:20:01+02:00;-13.48;-23.97;-16.18;34.48;-19.15
2019-06-30T20:30:01+02:00;-13.54;-24.01;-18.46;35.93;-20.08
2019-06-30T20:40:01+02:00;NaN;;-16.23;34.19;17.96
2019-06-30T20:40:02+02:00;-13.55;-24.1;NaN;;-37.65
2019-06-30T20:50:01+02:00;NaN;;-18.46;36.33;17.87
2019-06-30T20:50:02+02:00;-13.55;-24.06;NaN;;-37.61
2019-06-30T21:00:01+02:00;-13.52;-24.06;NaN;;-37.58
2019-06-30T21:00:03+02:00;NaN;;-16.32;34.61;18.29
2019-06-30T21:10:03+02:00;-13.53;-24.04;-18.31;35.19;-20.69
2019-06-30T21:20:02+02:00;-13.57;-24.1;NaN;;-37.67
2019-06-30T21:20:03+02:00;NaN;;-16.37;34.25;17.88
2019-06-30T21:30:04+02:00;-13.61;-24.13;-15.14;32.91;-19.97
2019-06-30T21:40:03+02:00;-13.63;-24.12;-11.64;37.55;-11.84
2019-06-30T21:50:02+02:00;-13.66;-24.16;-17.59;37.57;-17.84
2019-06-30T22:00:01+02:00;NaN;;-17.05;35.06;18.01
2019-06-30T22:00:03+02:00;-13.66;-24.15;NaN;;-37.81
2019-06-30T22:10:02+02:00;-13.69;-24.21;-17.97;36.78;-19.09
2019-06-30T22:20:02+02:00;-13.7;-23.75;-16.42;34.29;-19.58
2019-06-30T22:30:01+02:00;-12.44;-14.64;-18.39;35.73;-9.74
2019-06-30T22:40:02+02:00;-10.08;-20.46;-16.33;34.18;-12.69
