i	T	C	F	CS	FS
000250	04/07/2019 03:30:01	-14,25	-12,21		FSPIKE
000251	04/07/2019 03:40:02	-13,76	-18,23		
000252	04/07/2019 03:50:02	-10,70	-16,76	CSPIKE	
000253	04/07/2019 04:00:01	-13,22	-17,50		
000254	04/07/2019 04:00:03	-13,21	-16,36		
000255	04/07/2019 04:10:01	-14,15	-17,56		
000256	04/07/2019 04:20:01	-14,29	-16,49		
000257	04/07/2019 04:30:03	-14,28	-18,17		
000258	04/07/2019 04:40:01	-13,22	-16,03		
000259	04/07/2019 04:40:02	-14,34	-16,36		
000260	04/07/2019 04:50:01	-14,35	-17,71		
000261	04/07/2019 05:00:02	-13,22	-16,72		
000262	04/07/2019 05:00:03	-12,99	-16,36		
000263	04/07/2019 05:10:01	-13,22	-16,85		
000264	04/07/2019 05:10:02	-12,93	-16,36		
000265	04/07/2019 05:20:01	-13,22	-17,30		
000266	04/07/2019 05:20:02	-12,23	-16,36		
000267	04/07/2019 05:30:01	-13,19	-16,22		
000268	04/07/2019 05:40:01	-13,22	-16,78		
000269	04/07/2019 05:40:02	-13,74	-16,36		
000270	04/07/2019 05:50:01	-13,84	-16,36		
000271	04/07/2019 05:50:02	-13,22	-16,81		
000272	04/07/2019 06:00:01	-12,91	-16,99		
000273	04/07/2019 06:10:02	-13,71	-17,34		
000274	04/07/2019 06:20:01	-13,96	-13,79		
000275	04/07/2019 06:30:01	-13,96	-16,36		
000276	04/07/2019 06:30:02	-13,22	-12,06		FSPIKE
000277	04/07/2019 06:40:01	-13,98	-18,12		
000278	04/07/2019 06:50:02	-13,90	-16,79		
000279	04/07/2019 07:00:03	-13,42	-17,14		
000280	04/07/2019 07:10:01	-12,93	-17,85		
000281	04/07/2019 07:20:02	-13,20	-16,36		
000282	04/07/2019 07:30:01	-13,56	-16,36		
000283	04/07/2019 07:30:02	-13,22	-18,11		
000284	04/07/2019 07:40:01	-13,67	-17,13		
000285	04/07/2019 07:50:01	-13,20	-16,96		
